iter	Passed	Remaining
883	23998	3149
884	24022	3121
885	24048	3094
886	24075	3067
887	24102	3039
888	24127	3012
889	24157	2985
890	24179	2957
891	24204	2930
892	24230	2903
893	24257	2876
894	24279	2848
895	24304	2821
896	24332	2794
897	24355	2766
898	24378	2738
899	24401	2711
900	24424	2683
901	24452	2656
902	24479	2629
903	24500	2601
904	24524	2574
905	24551	2547
906	24573	2519
907	24599	2492
908	24627	2465
909	24652	2438
910	24677	2410
911	24702	2383
912	24725	2356
913	24754	2329
914	24776	2301
915	24801	2274
916	24825	2247
917	24851	2219
918	24877	2192
919	24899	2165
920	24921	2137
921	24949	2110
922	24975	2083
923	24999	2056
924	25025	2029
925	25048	2001
926	25072	1974
927	25098	1947
928	25122	1920
929	25150	1893
930	25175	1865
931	25198	1838
932	25225	1811
933	25250	1784
934	25274	1757
935	25297	1729
936	25329	1703
937	25357	1676
938	25378	1648
939	25402	1621
940	25427	1594
941	25451	1567
942	25473	1539
943	25500	1512
944	25530	1485
945	25556	1458
946	25580	1431
947	25607	1404
948	25631	1377
949	25659	1350
950	25685	1323
951	25712	1296
952	25737	1269
953	25764	1242
954	25790	1215
955	25812	1188
956	25837	1160
957	25859	1133
958	25884	1106
959	25911	1079
960	25935	1052
961	25961	1025
962	25990	998
963	26012	971
964	26038	944
965	26063	917
966	26083	890
967	26109	863
968	26133	836
969	26161	809
970	26186	782
971	26213	755
972	26238	728
973	26263	701
974	26288	674
975	26318	647
976	26345	620
977	26370	593
978	26393	566
979	26413	539
980	26445	512
981	26471	485
982	26499	458
983	26528	431
984	26550	404
985	26573	377
986	26594	350
987	26623	323
988	26646	296
989	26671	269
990	26696	242
991	26717	215
992	26741	188
993	26768	161
994	26796	134
995	26818	107
996	26847	80
997	26874	53
998	26901	26
999	26924	0
